"date","state","percent_positive","unweighted_ili","ILIp"
2019-10-13,"NJ",NA,2.56547,NA
2019-10-13,"NM",0,1.40313,0
2019-10-13,"NY",0.38,1.09797,4.172286e-05
2019-10-13,"NC",0.9,1.19933,0.0001079397
2019-10-13,"ND",3.09,1.2691,0.0003921519
2019-10-13,"OH",0.47,0.712468,3.3485996e-05
2019-10-13,"OK",0,1.9705,0
2019-10-13,"OR",1.01,1.19141,0.00012033241
2019-10-13,"PA",0,1.20891,0
2019-10-13,"RI",NA,0.298174,NA
2019-10-13,"SC",0.44,2.34589,0.00010321916
2019-10-13,"SD",0,0.694369,0
2019-10-13,"TN",0,1.69618,0
2019-10-13,"TX",3.76,2.55285,0.0009598716
2019-10-13,"UT",1.28,1.72846,0.00022124288
2019-10-13,"VT",0,1.03608,0
2019-10-13,"VA",0.35,1.97288,6.90508e-05
2019-10-13,"WA",1.75,1.32254,0.0002314445
2019-10-13,"WV",0.24,0.980278,2.3526672e-05
2019-10-13,"WI",0.56,1.48287,8.304072e-05
2019-10-13,"WY",NA,1.02179,NA
2019-10-20,"AL",3.02,2.35066,0.00070989932
2019-10-20,"AK",NA,1.42744,NA
2019-10-20,"AZ",2.26,1.3922,0.0003146372
2019-10-20,"AR",2.46,1.7754,0.0004367484
2019-10-20,"CA",2.9,1.73687,0.0005036923
2019-10-20,"CO",1.48,2.65636,0.00039314128
2019-10-20,"CT",0.89,1.76784,0.00015733776
2019-10-20,"DE",2.84,0.0747943,2.12415812e-05
2019-10-20,"FL",NA,NA,NA
2019-10-20,"GA",4.39,2.99099,0.00131304461
2019-10-20,"HI",3.47,2.11364,0.00073343308
2019-10-20,"ID",15.49,0.780312,0.001208703288
2019-10-20,"IL",0.9,1.90258,0.0001712322
2019-10-20,"IN",0.89,1.1562,0.0001029018
2019-10-20,"IA",0,1.00646,0
2019-10-20,"KS",0,1.41598,0
2019-10-20,"KY",0.19,1.59703,3.034357e-05
2019-10-20,"LA",9.25,5.50797,0.00509487225
2019-10-20,"ME",0,0.924604,0
2019-10-20,"MD",0.87,1.50493,0.00013092891
2019-10-20,"MA",1.19,0.989778,0.000117783582
2019-10-20,"MI",1.2,0.838431,0.00010061172
2019-10-20,"MN",0.64,2.39513,0.00015328832
2019-10-20,"MS",2.99,2.96099,0.00088533601
2019-10-20,"MO",0.19,0.718034,1.3642646e-05
2019-10-20,"MT",1.85,0.760525,0.000140697125
2019-10-20,"NE",1.03,2.12993,0.00021938279
2019-10-20,"NV",8.82,1.23402,0.00108840564
2019-10-20,"NH",NA,0.655594,NA
2019-10-20,"NJ",NA,2.32372,NA
2019-10-20,"NM",NA,1.60244,NA
2019-10-20,"NY",0.84,1.03963,8.732892e-05
2019-10-20,"NC",1.38,1.27839,0.00017641782
2019-10-20,"ND",6.4,1.11292,0.0007122688
2019-10-20,"OH",0.46,0.969159,4.4581314e-05
2019-10-20,"OK",0,1.96691,0
2019-10-20,"OR",0.97,1.22155,0.00011849035
2019-10-20,"PA",0.33,1.3817,4.55961e-05
2019-10-20,"RI",NA,0.307929,NA
2019-10-20,"SC",1.28,2.54701,0.00032601728
2019-10-20,"SD",0,0.724848,0
2019-10-20,"TN",0,1.87105,0
2019-10-20,"TX",5.72,3.23872,0.00185254784
2019-10-20,"UT",1.34,1.90343,0.00025505962
2019-10-20,"VT",0,0.871755,0
2019-10-20,"VA",0.34,2.08905,7.10277e-05
2019-10-20,"WA",1.12,1.03806,0.00011626272
2019-10-20,"WV",0.65,1.24357,8.083205e-05
2019-10-20,"WI",0.75,1.16637,8.747775e-05
2019-10-20,"WY",NA,1.00751,NA
2019-10-27,"AL",4.01,2.64992,0.00106261792
2019-10-27,"AK",NA,1.51358,NA
2019-10-27,"AZ",1.26,1.40129,0.00017656254
2019-10-27,"AR",2.21,2.43294,0.00053767974
2019-10-27,"CA",4.85,1.86748,0.0009057278
2019-10-27,"CO",2.54,2.7934,0.0007095236
2019-10-27,"CT",0.53,1.81377,9.612981e-05
2019-10-27,"DE",0.5,0.437318,2.18659e-05
2019-10-27,"FL",NA,NA,NA
2019-10-27,"GA",5.03,3.32883,0.00167440149
2019-10-27,"HI",2.39,2.69581,0.00064429859
2019-10-27,"ID",5.26,1.00503,0.00052864578
2019-10-27,"IL",1.58,1.8228,0.0002880024
2019-10-27,"IN",0.47,1.38889,6.527783e-05
2019-10-27,"IA",0.49,0.939029,4.6012421e-05
2019-10-27,"KS",0,1.53271,0
2019-10-27,"KY",0.57,1.93466,0.00011027562
2019-10-27,"LA",11.64,6.81417,0.00793169388
2019-10-27,"ME",0,0.933496,0
2019-10-27,"MD",2.23,1.65202,0.00036840046
2019-10-27,"MA",0.38,1.06684,4.053992e-05
2019-10-27,"MI",0.47,0.990705,4.6563135e-05
2019-10-27,"MN",0.85,2.40882,0.0002047497
2019-10-27,"MS",0,2.62253,0
2019-10-27,"MO",0.36,0.960096,3.4563456e-05
2019-10-27,"MT",0,0.796503,0
2019-10-27,"NE",0,2.07411,0
2019-10-27,"NV",NA,1.64921,NA
2019-10-27,"NH",NA,0.640478,NA
2019-10-27,"NJ",NA,2.62045,NA
2019-10-27,"NM",0.91,1.62342,0.00014773122
2019-10-27,"NY",1.19,1.23284,0.00014670796
2019-10-27,"NC",2.83,1.28462,0.00036354746
2019-10-27,"ND",7.45,1.26832,0.0009448984
2019-10-27,"OH",0.75,0.86353,6.476475e-05
2019-10-27,"OK",0.39,2.42398,9.453522e-05
2019-10-27,"OR",2.39,1.16815,0.00027918785
2019-10-27,"PA",0,1.2018,0
2019-10-27,"RI",NA,0.326391,NA
2019-10-27,"SC",0.56,2.50265,0.0001401484
2019-10-27,"SD",0,0.782453,0
2019-10-27,"TN",1.79,2.14267,0.00038353793
2019-10-27,"TX",11.44,3.70212,0.00423522528
2019-10-27,"UT",1.11,1.77771,0.00019732581
2019-10-27,"VT",1.05,0.955005,0.000100275525
2019-10-27,"VA",0.69,2.09611,0.00014463159
2019-10-27,"WA",1.6,1.27472,0.0002039552
2019-10-27,"WV",0.4,1.22906,4.91624e-05
2019-10-27,"WI",0.74,1.49762,0.00011082388
2019-10-27,"WY",NA,1.15546,NA
2019-11-03,"AL",2.99,3.3596,0.0010045204
2019-11-03,"AK",NA,2.40385,NA
2019-11-03,"AZ",2.69,2.58722,0.00069596218
2019-11-03,"AR",2.45,2.61617,0.00064096165
2019-11-03,"CA",9.99,2.19393,0.00219173607
2019-11-03,"CO",4.19,2.6835,0.0011243865
2019-11-03,"CT",0.86,2.02184,0.00017387824
2019-11-03,"DE",3.6,0.1554,5.5944e-05
2019-11-03,"FL",NA,NA,NA
2019-11-03,"GA",5.29,3.87897,0.00205197513
2019-11-03,"HI",4.23,1.7033,0.0007204959
2019-11-03,"ID",3.23,0.777706,0.000251199038
2019-11-03,"IL",1.55,1.86122,0.0002884891
2019-11-03,"IN",2.56,1.44112,0.00036892672
2019-11-03,"IA",1.22,1.0789,0.0001316258
2019-11-03,"KS",0,1.48686,0
2019-11-03,"KY",1.25,2.08395,0.00026049375
2019-11-03,"LA",15.7,8.68974,0.0136428918
2019-11-03,"ME",1.39,0.934091,0.000129838649
2019-11-03,"MD",2.59,1.85614,0.00048074026
2019-11-03,"MA",0.35,1.22268,4.27938e-05
2019-11-03,"MI",0.91,0.998877,9.0897807e-05
2019-11-03,"MN",0.29,2.27738,6.604402e-05
2019-11-03,"MS",0.91,4.07347,0.00037068577
2019-11-03,"MO",0.32,0.796601,2.5491232e-05
2019-11-03,"MT",0,0.930997,0
2019-11-03,"NE",2.68,2.36472,0.00063374496
2019-11-03,"NV",35.94,2.36328,0.00849362832
2019-11-03,"NH",NA,0.957156,NA
2019-11-03,"NJ",NA,2.78597,NA
2019-11-03,"NM",1.94,2.01753,0.00039140082
2019-11-03,"NY",1.5,1.29974,0.000194961
2019-11-03,"NC",0.75,1.48144,0.000111108
2019-11-03,"ND",18.75,1.46671,0.00275008125
2019-11-03,"OH",0.65,0.960314,6.242041e-05
2019-11-03,"OK",0.76,2.69122,0.00020453272
2019-11-03,"OR",3.71,1.26008,0.00046748968
