"date","state","unweighted_ili","state_pos","region_pos","hybrid_pos","region.x","ILIp","flu_av7","flu_per_cap_av7","mask_av7","rr_av7","gp_av7","park_av7","transit_av7","work_av7","resid_av7","school_av7","elderly_av7","mask_policy_av7"
2019-09-29,"TX",2.1399,3.08,2.59933,3.08,6,0.0006590892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"UT",1.48896,2.44,1.36612,2.44,8,0.00036330624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"VT",0.867052,0,0.373483,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"VA",1.70235,0,0.80429,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"WA",0.968318,1.56,1.44425,1.56,10,0.000151057608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"WV",0.854292,0,0.80429,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"WI",0.898354,0.48,0.497512,0.48,5,4.3120992e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"WY",1.1875,NA,1.36612,1.36612,8,0.00016222675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"AL",1.8918,3.41,2.80567,3.41,4,0.0006451038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"AK",2.3322,NA,0.974478,0.974478,10,0.00022726775916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"AZ",1.19067,2.93,2.07254,2.93,9,0.00034886631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"AR",1.91505,2.13,2.75398,2.13,6,0.00040790565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"CA",1.51557,1.96,2.07254,1.96,9,0.00029705172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"CO",2.51736,2.27,1.30321,2.27,8,0.00057144072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"CT",1.57002,0,0.838926,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"DE",0.0737463,1.83,0.512383,1.83,3,1.34955729e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"FL",NA,NA,2.80567,2.80567,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"GA",2.44792,3.09,2.80567,3.09,4,0.00075640728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"HI",2.00793,1.8,2.07254,1.8,9,0.0003614274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"ID",0.551572,5,0.974478,5,10,0.000275786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"IL",1.63321,2.68,0.461277,2.68,5,0.00043770028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"IN",1.11703,0.55,0.461277,0.55,5,6.143665e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"IA",0.788927,1.7,0.563154,1.7,7,0.00013411759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"KS",1.24696,0,0.563154,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"KY",1.00082,0,2.80567,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"LA",4.39856,3.95,2.75398,3.95,6,0.0017374312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"ME",0.894029,0,0.838926,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"MD",1.44965,0.75,0.512383,0.75,3,0.00010872375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"MA",1.0167,1.73,0.838926,1.73,1,0.0001758891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
