date,state,elderly_mode,school_mode,masking_mode,unweighted_ili,flu_av7,flu_per_cap_av7,mask_av7,rr_av7,gp_av7,park_av7,transit_av7,work_av7,resid_av7
2019-10-13,IN,,,,0.853706,,,,,,,,,
2019-10-13,IA,,,,0.8428040000000001,,,,,,,,,
2019-10-13,KS,,,,1.28422,,,,,,,,,
2019-10-13,KY,,,,1.41443,,,,,,,,,
2019-10-13,LA,,,,4.8224300000000015,,,,,,,,,
2019-10-13,ME,,,,0.935829,,,,,,,,,
2019-10-13,MD,,,,1.34313,,,,,,,,,
2019-10-13,MA,,,,1.05407,,,,,,,,,
2019-10-13,MI,,,,0.947571,,,,,,,,,
2019-10-13,MN,,,,2.21124,,,,,,,,,
2019-10-13,MS,,,,2.07059,,,,,,,,,
2019-10-13,MO,,,,0.5616399999999999,,,,,,,,,
2019-10-13,MT,,,,0.682563,,,,,,,,,
2019-10-13,NE,,,,2.30471,,,,,,,,,
2019-10-13,NV,,,,1.22039,,,,,,,,,
2019-10-13,NH,,,,0.4162810000000001,,,,,,,,,
2019-10-13,NJ,,,,2.56547,,,,,,,,,
2019-10-13,NM,,,,1.40313,,,,,,,,,
2019-10-13,NY,,,,1.09797,,,,,,,,,
2019-10-13,NC,,,,1.21686,,,,,,,,,
2019-10-13,ND,,,,1.2691,,,,,,,,,
2019-10-13,OH,,,,0.712468,,,,,,,,,
2019-10-13,OK,,,,1.9705,,,,,,,,,
2019-10-13,OR,,,,1.19141,,,,,,,,,
2019-10-13,PA,,,,1.20891,,,,,,,,,
2019-10-13,RI,,,,0.298174,,,,,,,,,
2019-10-13,SC,,,,2.3458900000000003,,,,,,,,,
2019-10-13,SD,,,,0.694369,,,,,,,,,
2019-10-13,TN,,,,1.69618,,,,,,,,,
2019-10-13,TX,,,,2.55285,,,,,,,,,
2019-10-13,UT,,,,1.72846,,,,,,,,,
2019-10-13,VT,,,,1.03608,,,,,,,,,
2019-10-13,VA,,,,1.97288,,,,,,,,,
2019-10-13,WA,,,,1.32254,,,,,,,,,
2019-10-13,WV,,,,0.980278,,,,,,,,,
2019-10-13,WI,,,,1.48287,,,,,,,,,
2019-10-13,WY,,,,1.02179,,,,,,,,,
2019-10-20,AL,,,,2.35066,,,,,,,,,
2019-10-20,AK,,,,1.42744,,,,,,,,,
2019-10-20,AZ,,,,1.3922,,,,,,,,,
