"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"373","States","Tennessee",2019,46,NA,2.96013,NA,NA,NA,NA,NA,NA,1240,90,41890,2019-11-10
"374","States","Texas",2019,46,NA,4.78979,NA,NA,NA,NA,NA,NA,1456,111,30398,2019-11-10
"375","States","Utah",2019,46,NA,2.2681,NA,NA,NA,NA,NA,NA,390,51,17195,2019-11-10
"376","States","Vermont",2019,46,NA,1.12664,NA,NA,NA,NA,NA,NA,54,17,4793,2019-11-10
"377","States","Virginia",2019,46,NA,2.55936,NA,NA,NA,NA,NA,NA,2576,160,100650,2019-11-10
"378","States","Washington",2019,46,NA,1.78561,NA,NA,NA,NA,NA,NA,310,58,17361,2019-11-10
"379","States","West Virginia",2019,46,NA,1.3422,NA,NA,NA,NA,NA,NA,220,51,16391,2019-11-10
"380","States","Wisconsin",2019,46,NA,1.40298,NA,NA,NA,NA,NA,NA,300,43,21383,2019-11-10
"381","States","Wyoming",2019,46,NA,1.14674,NA,NA,NA,NA,NA,NA,54,21,4709,2019-11-10
"382","States","Commonwealth of the Northern Mariana Islands",2019,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-10
"383","States","Puerto Rico",2019,46,NA,7.35398,NA,NA,NA,NA,NA,NA,311,9,4229,2019-11-10
"384","States","Virgin Islands",2019,46,NA,0.873362,NA,NA,NA,NA,NA,NA,6,2,687,2019-11-10
"385","States","New York City",2019,46,NA,2.37719,NA,NA,NA,NA,NA,NA,2318,71,97510,2019-11-10
"386","States","Alabama",2019,47,NA,4.66176,NA,NA,NA,NA,NA,NA,2332,94,50024,2019-11-17
"387","States","Alaska",2019,47,NA,2.01203,NA,NA,NA,NA,NA,NA,97,17,4821,2019-11-17
"388","States","Arizona",2019,47,NA,2.71652,NA,NA,NA,NA,NA,NA,388,30,14283,2019-11-17
"389","States","Arkansas",2019,47,NA,3.12874,NA,NA,NA,NA,NA,NA,183,16,5849,2019-11-17
"390","States","California",2019,47,NA,2.39551,NA,NA,NA,NA,NA,NA,1536,122,64120,2019-11-17
"391","States","Colorado",2019,47,NA,3.22949,NA,NA,NA,NA,NA,NA,1216,70,37653,2019-11-17
"392","States","Connecticut",2019,47,NA,2.45252,NA,NA,NA,NA,NA,NA,1024,80,41753,2019-11-17
"393","States","Delaware",2019,47,NA,0.142959,NA,NA,NA,NA,NA,NA,2,6,1399,2019-11-17
"394","States","District of Columbia",2019,47,NA,2.14897,NA,NA,NA,NA,NA,NA,324,5,15077,2019-11-17
"395","States","Florida",2019,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17
"396","States","Georgia",2019,47,NA,5.21978,NA,NA,NA,NA,NA,NA,3623,94,69409,2019-11-17
"397","States","Hawaii",2019,47,NA,2.74198,NA,NA,NA,NA,NA,NA,100,21,3647,2019-11-17
"398","States","Idaho",2019,47,NA,1.20482,NA,NA,NA,NA,NA,NA,18,7,1494,2019-11-17
"399","States","Illinois",2019,47,NA,2.11537,NA,NA,NA,NA,NA,NA,1784,189,84335,2019-11-17
"400","States","Indiana",2019,47,NA,1.41648,NA,NA,NA,NA,NA,NA,77,26,5436,2019-11-17
"401","States","Iowa",2019,47,NA,0.918422,NA,NA,NA,NA,NA,NA,68,19,7404,2019-11-17
"402","States","Kansas",2019,47,NA,1.42391,NA,NA,NA,NA,NA,NA,205,31,14397,2019-11-17
"403","States","Kentucky",2019,47,NA,2.77164,NA,NA,NA,NA,NA,NA,364,39,13133,2019-11-17
"404","States","Louisiana",2019,47,NA,11.6895,NA,NA,NA,NA,NA,NA,6964,100,59575,2019-11-17
"405","States","Maine",2019,47,NA,1.22556,NA,NA,NA,NA,NA,NA,183,55,14932,2019-11-17
"406","States","Maryland",2019,47,NA,2.19271,NA,NA,NA,NA,NA,NA,1121,72,51124,2019-11-17
"407","States","Massachusetts",2019,47,NA,1.4374,NA,NA,NA,NA,NA,NA,879,76,61152,2019-11-17
"408","States","Michigan",2019,47,NA,1.23582,NA,NA,NA,NA,NA,NA,304,82,24599,2019-11-17
"409","States","Minnesota",2019,47,NA,2.72668,NA,NA,NA,NA,NA,NA,209,20,7665,2019-11-17
"410","States","Mississippi",2019,47,NA,6.063,NA,NA,NA,NA,NA,NA,1151,47,18984,2019-11-17
"411","States","Missouri",2019,47,NA,1.23077,NA,NA,NA,NA,NA,NA,44,15,3575,2019-11-17
"412","States","Montana",2019,47,NA,1.18399,NA,NA,NA,NA,NA,NA,137,42,11571,2019-11-17
"413","States","Nebraska",2019,47,NA,3.49316,NA,NA,NA,NA,NA,NA,467,67,13369,2019-11-17
"414","States","Nevada",2019,47,NA,3.00172,NA,NA,NA,NA,NA,NA,385,33,12826,2019-11-17
"415","States","New Hampshire",2019,47,NA,0.613228,NA,NA,NA,NA,NA,NA,14,13,2283,2019-11-17
"416","States","New Jersey",2019,47,NA,2.93343,NA,NA,NA,NA,NA,NA,947,41,32283,2019-11-17
"417","States","New Mexico",2019,47,NA,3.12916,NA,NA,NA,NA,NA,NA,799,51,25534,2019-11-17
"418","States","New York",2019,47,NA,1.44615,NA,NA,NA,NA,NA,NA,826,135,57117,2019-11-17
"419","States","North Carolina",2019,47,NA,1.67733,NA,NA,NA,NA,NA,NA,1751,167,104392,2019-11-17
"420","States","North Dakota",2019,47,NA,1.89717,NA,NA,NA,NA,NA,NA,69,13,3637,2019-11-17
"421","States","Ohio",2019,47,NA,1.0583,NA,NA,NA,NA,NA,NA,222,50,20977,2019-11-17
"422","States","Oklahoma",2019,47,NA,2.95654,NA,NA,NA,NA,NA,NA,300,28,10147,2019-11-17
"423","States","Oregon",2019,47,NA,1.8385,NA,NA,NA,NA,NA,NA,798,96,43405,2019-11-17
"424","States","Pennsylvania",2019,47,NA,1.6982,NA,NA,NA,NA,NA,NA,903,130,53174,2019-11-17
"425","States","Rhode Island",2019,47,NA,0.494382,NA,NA,NA,NA,NA,NA,33,23,6675,2019-11-17
"426","States","South Carolina",2019,47,NA,3.97771,NA,NA,NA,NA,NA,NA,414,25,10408,2019-11-17
"427","States","South Dakota",2019,47,NA,1.65146,NA,NA,NA,NA,NA,NA,190,32,11505,2019-11-17
"428","States","Tennessee",2019,47,NA,3.82892,NA,NA,NA,NA,NA,NA,1649,84,43067,2019-11-17
"429","States","Texas",2019,47,NA,6.49962,NA,NA,NA,NA,NA,NA,2114,114,32525,2019-11-17
"430","States","Utah",2019,47,NA,2.50505,NA,NA,NA,NA,NA,NA,496,51,19800,2019-11-17
"431","States","Vermont",2019,47,NA,0.872211,NA,NA,NA,NA,NA,NA,43,17,4930,2019-11-17
"432","States","Virginia",2019,47,NA,2.88598,NA,NA,NA,NA,NA,NA,3005,160,104124,2019-11-17
"433","States","Washington",2019,47,NA,2.69907,NA,NA,NA,NA,NA,NA,602,58,22304,2019-11-17
"434","States","West Virginia",2019,47,NA,1.24365,NA,NA,NA,NA,NA,NA,208,50,16725,2019-11-17
